event_id,title,category,venue_name,neighborhood
1df19a4e-46d0-ec0a-45b4-d5c82b61e566,"Nocturnal Navigators: Green-Wood Bat Walk","Walking Tour","Green-Wood Cemetery",""
22065ce8-c1a2-483d-63a3-8b2ab48a235d,"Kids in Motion: St. Mary's Park West","Family & kids","St. Mary's Park",""
2de57e78-faba-0d7f-bbe4-1fcceda02da7,"Kids In Motion: Rosemary's Playground","Family & kids","Rosemary's Playground",""
bb203aaa-6b32-bab8-4979-b68557ca28ee,"Zumba under the Stars w/Lisa G aka RockaZumbaway","NYC Parks Fitness Expo","Rockaway Beach and Boardwalk",""
d3400513-b404-e3ba-e0bb-f0c6168e0212,"Hippo Playground Summer Concerts Featuring Esther Crow","Free Summer Concerts","Riverside Park",""
89b77fed-45f4-0a4f-ea5b-75613d2a95ee,"Nature's Workshop: Sandcastles and Beachcombing","Hiking","Wolfe's Pond Park",""
43db1f46-e59e-bee4-83d5-840f2d848e4d,"Morning Yoga - August 1","Running & fitness","Pier 3 Central Lawn, Brooklyn Bridge Park","Brooklyn Bridge Park"
afb13a4a-4a76-c774-7c1e-ee943f618699,"Kids In Motions: Carmasville Playground","Family & kids","Carmansville Playground",""
31510ea1-b174-066d-2af9-a455e03e35e4,"Kids In Motion: Carl Schruz Park","Family & kids","Carl Schurz Park",""
71907763-2967-6154-c7d4-b819a003c7eb,"Summer on the Hudson: Cardio Dance with Caro","Exercise Classes","Riverside Park",""
6cd23ef6-184a-acc0-8008-1a0bd8a30f2c,"Summer on the Hudson: Movement Speaks Workshop","Exercise Classes","Riverside Park",""
f465e4f4-fed5-2dc7-e00b-0c11b39f62f1,"Kids in Motion: Hunts Point Playground","Family & kids","Hunts Point Playground",""
4ecb8916-1954-ad39-af55-e1d97e86b59a,"Kids In Motion: Nautilus Playground","Family & kids","Roy Wilkins Recreation Center",""
4574e3a6-955c-9846-eb4a-0641fac7024c,"Wheel Fun Rentals Celebrates America's 250th with Patriotic LED Bike Ride","Fourth of July","Flushing Meadows Corona Park, Franklin D. Roosevelt Boardwalk and Beach, Marine Park, Bensonhurst Park",""
1b5926ed-70cf-1f1e-86af-a3b535460a9d,"Waterfront Workouts: Amp'd Bootcamp","Outdoor Fitness","Brooklyn Bridge Park",""
85fd4591-8ad1-8cb1-84ab-fe41bb46bbb2,"Skyline CircleSing with Gaia Music Collective","Free Summer Concerts","Brooklyn Bridge Park",""
53a0c82b-edc8-2ff7-74f0-b2807fd1ed92,"Seining","Waterfront","Canarsie Park",""
820ebb62-a7ff-a8b2-72cd-a0914779e710,"Kids in Motion: Flynn Playground","Family & kids","Flynn Playground",""
f30807ca-276a-55fb-119e-dae5ee0ad500,"Kids in Motion: Williamsbridge Oval Playground West","Family & kids","Williamsbridge Oval",""
d9a76b01-bc7f-1043-2c04-93c20fe7292d,"Kids In Motion: Arrochar","Family & kids","Arrochar Playground",""
c9e7914a-fcd5-c719-2cb1-b1bc34a712d1,"$49 3 Hour Premium Open Bar Summer Social","Nightlife","Marquee Nightclub",""
0f5fd85c-3ce8-8db6-de89-9d2e6e3c9540,"Disability Pride Night: Love & Fury Vibrant Verbal Description Tour with ASL","Museums","Poster House",""
6f3baf38-daea-8ef1-90bd-f1c9bcb02073,"Puppet Mobile featuring Pinocchio","Theater","Roy Wilkins Recreation Center",""
8c95bc93-5322-cf14-1070-9ec435396f09,"Summer Spruce Up","Volunteer","Prospect Park",""
9ea168ff-618e-ff06-6523-65f4936e3f9f,"Basic Canoeing","Urban Park Rangers","Alley Pond Park",""
cda8ad7c-8c07-92b8-d2dd-c90f90f5b78b,"Kids In Motion: Elmhurst Park","Family & kids","Elmhurst Park",""
2ff39fa2-0895-94f4-430e-7453b7769eaa,"Moonlight Tour","","Green-Wood Cemetery",""
3f8d03cc-83b0-3c2d-2297-47b3be0f7ecd,"The Little Moon Theater: An Original Musical by TADA! Youth Theater","Family & kids","Flatiron Plazas",""
addee137-39dc-4459-ac41-0c22b5f3e888,"Volunteer Day: Bay 84th Street Community Garden","Gardening","",""
a30834bc-f999-27f1-8bed-31f46484b551,"Kids in Motion: Seward Park","Family & kids","Seward Park",""
96f46f0d-7cd8-877a-bd8b-c266ea7edcd9,"Intermediate Canoeing","Urban Park Rangers","Inwood Hill Park",""
471c2d7e-a491-d262-2193-a481337f2d04,"40 in Focus: SummerStage through the Lens of Photographer Jack Vartoogian","History","Central Park",""
2c7730da-effb-760c-f892-c7f7ee22fbd4,"Pop-Up Audubon II","Pop-Up Audubon","Prospect Park",""
c8f829b9-53ef-de0b-9470-663bf51989e3,"It's My Park at Andrew Haswell Green Park","It's My Park","Andrew Haswell Green Park",""
b27aba14-ce2f-b456-3cec-c3733ae93f98,"chabrol + huppert: doing wrong","Film & cinema","l’alliance new york","ues"
20e48eca-5478-8d62-0546-8be37a11af2d,"Kids In Motion: P.S. 55","Family & kids","Lieutenant John H. Martinson Playground",""
01d68a2a-1d82-0abd-d200-fcee3523027b,"""Cultivating Presence in the Garden"": Storytelling Workshops with Roundabout Theatre Company","Workshops","",""
a5b3a631-247c-f3cf-7037-478437fed91d,"StoryTime with Cali Co Cat","Family & kids","Bryant Park","Midtown"
4f4bf320-9cc9-9804-5abd-f9b2f1ad7ea8,"Dance in the Park: Merengue","Exercise Classes","Randall's Island Park",""
e142b5fc-3991-84fb-dc10-304c76ee9722,"It's My Park at Wolfe's Pond Park","It's My Park","Wolfe's Pond Park",""
1adf0d47-5801-a7d1-7385-13926eaa2112,"Big City Folk in Greeley Square Park","Free Summer Concerts","Greeley Square Park",""
4e3791ca-d39a-c3b8-a167-b2324c2b493e,"Garden Explorers","Hiking & parks","Bryant Park","Midtown"
47bc3f87-4c5f-ea57-32c4-29a276fdc3da,"Kids In Motion: Nostrand Playground","Family & kids","",""
19b777d0-cf88-9b35-19df-c406bcd3910d,"Prospect Park Stroller Walk","Wellness","Prospect Park",""
4b2a5242-7306-047b-8acc-342e60ff5c5b,"Giant Bubble at Greeley Square Park","Family & kids","Greeley Square Park",""
b17d69e4-c29d-838e-bca1-1d76b5685b44,"Kids In Motion: De Matti Playground","Family & kids","De Matti Park",""
9ad48c1e-d585-e3cb-98f2-556988d0b1d7,"Zumba - July 27","Running & fitness","Pier 3 Plaza, Brooklyn Bridge Park","Brooklyn Bridge Park"
